NOME,lat,lon,UNIDADE,CONTATO,TELEFONE,ENDERECO,colors
FACULDADE DE TECNOLOGIA DE FRANCO DA ROCHA,-23.3361627,-46.7225314,-,,,Rodovia Luiz Salomão Chama - 41 - CEP: 07857-050 - Vila Ramos,red
FACULDADE DE TECNOLOGIA DE GARÇA (FATECGA),-22.2335171,-49.6439629,FATECGA,www.fatecgarca.edu.br,,Av. Presidente Vargas - 2331 - CEP: 17400-000 - Vila José Ribeiro,red
FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ (FATEC GT),-22.7858148,-45.1810546,FATEC GT,www.fatecguaratingueta.edu.br,,Avenida Professor João Rodrigues Alckimin - 1501 - CEP: 12517-010 - Jardim Esperança,red
FACULDADE DE TECNOLOGIA DE GUARULHOS (FATEC GR),-23.4662695,-46.5295190999999,FATEC GR,www.fatecguarulhos.edu.br,,Rua João Gonçalves - 511 - CEP: 07010-010 - Centro,red
FACULDADE DE TECNOLOGIA DE INDAIATUBA (FATEC-ID),-23.0859612,-47.2025848,FATEC-ID,www.fatecindaiatuba.edu.br,,Rua Dom Pedro I - 65 - CEP: 13334-100 - Cidade Nova I,red
FACULDADE DE TECNOLOGIA DE ITAPETININGA - PROF.ANTÔNIO BELIZANDRO BARBOSA REZENDE (FATEC - ITAPETININGA),-23.6001033,-48.0514259,Fatec - Itapetininga,www.fatecitapetininga.edu.br,,Rua João Vieira Camargo - 104 - CEP: 18205-600 - Vila Barth,red
FACULDADE DE TECNOLOGIA DE ITAPIRA (FATEC ITAPIRA),-22.4310779,-46.834526,FATEC Itapira,www.fatecitapira.edu.br,,Rua Tereza Lera Paoletti - 590 - CEP: 13974-080 - Jardim Bela Vista,red
FACULDADE DE TECNOLOGIA DE ITAQUAQUECETUBA (FATEC ITAQUA),-23.483756,-46.368992,Fatec Itaqua,www.fatecitaqua.edu.br,,Av. Itaquaquecetuba - 711 - CEP: 08500-000 - Vila Monte Belo,red
FACULDADE DE TECNOLOGIA DE ITAQUERA (FATEC ITAQUERA),-23.5450592,-46.4680615,FATEC ITAQUERA,http://www.fatecitaquera.edu.br,,Avenida Miguel Ignácio Curi - s/n - CEP: 08295-005 - Vila Carmosina,red
FACULDADE DE TECNOLOGIA DE ITATIBA (FATEC ITATIBA),-22.9959046,-46.8469592,Fatec Itatiba,http://www.fatecdeitatiba.edu.br,,Rua Daniel Peçanha de Moraes - 220 - CEP: 13251-140 - Jardim Salessi,red
FACULDADE DE TECNOLOGIA DE JACAREÍ (FATEC JACAREÍ),-23.2950132,-45.96655,FATEC Jacareí,www.fatecjacarei.com.br,,Avenida Faria Lima - 155 - CEP: 12328-070 - Jardim Santa Maria,red
